month,maximum_rainfall_in_a_day,year,month_only,no_of_rainy_days,total_rainfall
1982-01-01,36.5,1982,1,10.0,107.1
1982-02-01,9.4,1982,2,5.0,27.8
1982-03-01,61.7,1982,3,11.0,160.8
1982-04-01,45.1,1982,4,14.0,157.0
1982-05-01,33.0,1982,5,10.0,102.2
1982-06-01,20.6,1982,6,8.0,59.5
1982-07-01,17.2,1982,7,8.0,76.3
1982-08-01,57.7,1982,8,11.0,169.5
1982-09-01,18.0,1982,9,9.0,54.1
1982-10-01,10.0,1982,10,10.0,39.3
1982-11-01,39.6,1982,11,13.0,134.0
1982-12-01,109.0,1982,12,21.0,494.1
1983-01-01,43.2,1983,1,18.0,246.0
1983-02-01,5.1,1983,2,2.0,5.6
1983-03-01,18.3,1983,3,2.0,18.6
1983-04-01,21.3,1983,4,4.0,33.6
1983-05-01,32.3,1983,5,11.0,160.8
1983-06-01,27.7,1983,6,11.0,94.0
1983-07-01,55.5,1983,7,18.0,190.0
1983-08-01,181.8,1983,8,10.0,262.2
1983-09-01,50.3,1983,9,18.0,170.8
1983-10-01,40.0,1983,10,17.0,212.7
1983-11-01,54.8,1983,11,18.0,228.8
1983-12-01,164.4,1983,12,16.0,370.6
1984-01-01,62.3,1984,1,18.0,251.2
1984-02-01,154.4,1984,2,19.0,470.4
1984-03-01,119.4,1984,3,19.0,361.3
1984-04-01,38.7,1984,4,17.0,153.1
1984-05-01,46.0,1984,5,12.0,186.5
1984-06-01,121.1,1984,6,14.0,255.0
1984-07-01,49.2,1984,7,12.0,127.2
1984-08-01,22.5,1984,8,13.0,102.7
1984-09-01,46.5,1984,9,17.0,186.7
1984-10-01,47.2,1984,10,11.0,187.5
1984-11-01,35.4,1984,11,17.0,127.7
1984-12-01,58.4,1984,12,22.0,277.4
1985-01-01,35.5,1985,1,7.0,111.1
1985-02-01,18.7,1985,2,11.0,79.3
1985-03-01,23.8,1985,3,13.0,88.0
1985-04-01,29.3,1985,4,14.0,110.5
1985-05-01,36.2,1985,5,12.0,70.1
1985-06-01,9.9,1985,6,14.0,37.0
1985-07-01,32.2,1985,7,17.0,131.8
1985-08-01,21.4,1985,8,11.0,56.9
1985-09-01,22.0,1985,9,18.0,110.7
1985-10-01,30.2,1985,10,21.0,169.0
1985-11-01,38.2,1985,11,21.0,179.4
1985-12-01,86.8,1985,12,22.0,340.1
1986-01-01,95.6,1986,1,13.0,308.2
1986-02-01,23.0,1986,2,2.0,26.7
1986-03-01,71.1,1986,3,17.0,353.4
1986-04-01,56.4,1986,4,14.0,150.0
1986-05-01,51.3,1986,5,13.0,145.1
1986-06-01,34.5,1986,6,13.0,122.9
1986-07-01,23.5,1986,7,12.0,109.7
1986-08-01,28.4,1986,8,11.0,72.9
1986-09-01,97.6,1986,9,22.0,396.0
1986-10-01,65.6,1986,10,20.0,227.3
1986-11-01,40.5,1986,11,21.0,256.7
1986-12-01,131.7,1986,12,16.0,367.2
1987-01-01,127.4,1987,1,16.0,568.6
1987-02-01,34.8,1987,2,7.0,86.9
1987-03-01,40.9,1987,3,12.0,132.5
1987-04-01,27.7,1987,4,10.0,72.5
1987-05-01,81.4,1987,5,16.0,270.0
1987-06-01,30.7,1987,6,15.0,126.6
1987-07-01,21.6,1987,7,11.0,80.9
1987-08-01,48.2,1987,8,16.0,191.9
